K0_number	Gene_identification	Label
K05660	ABCB5; ATP-binding cassette, subfamily B (MDR/TAP), member 5	ABCB5; ATP-binding cassette, subfamily B (MDR/TAP), member 5
K05621	TGM4; transglutaminase 4 [EC:2.3.2.13]	TGM4; transglutaminase 4 [EC:2.3.2.13]
K12314	ACTC1; actin, alpha cardiac muscle	ACTC1; actin, alpha cardiac muscle
K07365	NCK1; NCK adaptor protein 1	NCK1; NCK adaptor protein 1
K10060	CLEC4F, CLECSF13; C-type lectin domain family 4 member F	CLEC4F, CLECSF13; C-type lectin domain family 4 member F
K05101	NTRK3, TRKC; neurotrophic tyrosine kinase, receptor type 3 [EC:2.7.10.1]	NTRK3, TRKC; neurotrophic tyrosine kinase, receptor type 3 [EC:2.7.10.1]
K09971	aapM, bztC; general L-amino acid transport system permease protein	aapM, bztC; general L-amino acid transport system permease protein
K00839	pucG; (S)-ureidoglycine-glyoxylate aminotransferase [EC:2.6.1.-]	pucG; (S)-ureidoglycine-glyoxylate aminotransferase [EC:2.6.1.-]
K04069	pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]	pflA, pflC, pflE; pyruvate formate lyase activating enzyme [EC:1.97.1.4]
K09628	PRSS27; serine protease 27 [EC:3.4.21.-]	PRSS27; serine protease 27 [EC:3.4.21.-]
K00090	E1.1.1.215; gluconate 2-dehydrogenase [EC:1.1.1.215]	E1.1.1.215; gluconate 2-dehydrogenase [EC:1.1.1.215]
K08785	HTRA3; HtrA serine peptidase 3 [EC:3.4.21.-]	HTRA3; HtrA serine peptidase 3 [EC:3.4.21.-]
K09036	MAFB; transcription factor MAFB	MAFB; transcription factor MAFB
K11484	HOS3; histone deacetylase HOS3 [EC:3.5.1.98]	HOS3; histone deacetylase HOS3 [EC:3.5.1.98]
K02573	napG; ferredoxin-type protein NapG	napG; ferredoxin-type protein NapG
K17300	LGALS3BP; galectin-3-binding protein	LGALS3BP; galectin-3-binding protein
K08502	VAM7; regulator of vacuolar morphogenesis	VAM7; regulator of vacuolar morphogenesis
K00684	aat; leucyl/phenylalanyl-tRNA--protein transferase [EC:2.3.2.6]	aat; leucyl/phenylalanyl-tRNA--protein transferase [EC:2.3.2.6]
K09762	K09762; uncharacterized protein	K09762; uncharacterized protein
K14728	K14728; phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase [EC:1.2.-.-]	K14728; phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase [EC:1.2.-.-]
K11225	STAT6; signal transducer and activator of transcription 6	STAT6; signal transducer and activator of transcription 6
K08575	CAPN6; calpain-6 [EC:3.4.22.-]	CAPN6; calpain-6 [EC:3.4.22.-]
K17386	PDGFB; platelet-derived growth factor subunit B	PDGFB; platelet-derived growth factor subunit B
K02429	fucP; MFS transporter, FHS family, L-fucose permease	fucP; MFS transporter, FHS family, L-fucose permease
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]
K02031	ABC.PE.A; peptide/nickel transport system ATP-binding protein	ABC.PE.A; peptide/nickel transport system ATP-binding protein
K07522	NTNG1; netrin-G1	NTNG1; netrin-G1
K09277	YBX2; Y-box-binding protein 2	YBX2; Y-box-binding protein 2
K11149	DHRS9; dehydrogenase/reductase SDR family member 9 [EC:1.1.-.-]	DHRS9; dehydrogenase/reductase SDR family member 9 [EC:1.1.-.-]
K02189	cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]	cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
K06720	ectC; L-ectoine synthase [EC:4.2.1.108]	ectC; L-ectoine synthase [EC:4.2.1.108]
K09197	SP7; transcription factor Sp7	SP7; transcription factor Sp7
K10676	tfdB; 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]	tfdB; 2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]
K01849	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]	E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]
K01170	endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]	endA; tRNA-intron endonuclease, archaea type [EC:4.6.1.16]
K07939	ARF4; ADP-ribosylation factor 4	ARF4; ADP-ribosylation factor 4
K12370	dppC; dipeptide transport system permease protein	dppC; dipeptide transport system permease protein
K08121	FMOD; fibromodulin	FMOD; fibromodulin
K02654	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]	pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase [EC:3.4.23.43 2.1.1.-]
K04522	PSEN2, PS2; presenilin 2 [EC:3.4.23.-]	PSEN2, PS2; presenilin 2 [EC:3.4.23.-]
K05155	TNFRSF19, TROY; tumor necrosis factor receptor superfamily member 19	TNFRSF19, TROY; tumor necrosis factor receptor superfamily member 19
K05259	GCG; glucagon	GCG; glucagon
K08885	TNK1; non-receptor tyrosine-protein kinase TNK1 [EC:2.7.10.2]	TNK1; non-receptor tyrosine-protein kinase TNK1 [EC:2.7.10.2]
K19903	SYT3; synaptotagmin-3	SYT3; synaptotagmin-3
K05375	mbtH, nocI; MbtH protein	mbtH, nocI; MbtH protein
K10469	KLHL34; kelch-like protein 34	KLHL34; kelch-like protein 34
K09975	K09975; uncharacterized protein	K09975; uncharacterized protein
K00528	fpr; ferredoxin--NADP+ reductase [EC:1.18.1.2]	fpr; ferredoxin--NADP+ reductase [EC:1.18.1.2]
K12506	ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]	ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]
K05626	DRPLA; atrophin-1 (dentatorubral-pallidoluysian atrophy protein)	DRPLA; atrophin-1 (dentatorubral-pallidoluysian atrophy protein)
K03042	rpoA2; DNA-directed RNA polymerase subunit A [EC:2.7.7.6]	Structural complex	Genetic information processing	RNA polymerase	RNA polymerase, archaea	rpoA2; DNA-directed RNA polymerase subunit A [EC:2.7.7.6]	
K16213	cbe, mbe; cellobiose epimerase [EC:5.1.3.11]	cbe, mbe; cellobiose epimerase [EC:5.1.3.11]
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Glycolysis
K15635	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]	Gluconeogenesis
K02334	dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]	dpo; DNA polymerase bacteriophage-type [EC:2.7.7.7]
K01300	CPB2; carboxypeptidase B2 [EC:3.4.17.20]	CPB2; carboxypeptidase B2 [EC:3.4.17.20]
K04517	tyrA2; prephenate dehydrogenase [EC:1.3.1.12]	tyrA2; prephenate dehydrogenase [EC:1.3.1.12]
K18928	lldE; L-lactate dehydrogenase complex protein LldE	lldE; L-lactate dehydrogenase complex protein LldE
K05896	scpA; segregation and condensation protein A	scpA; segregation and condensation protein A
K10475	KBTBD8; kelch repeat and BTB domain-containing protein 8	KBTBD8; kelch repeat and BTB domain-containing protein 8
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	TCA cycle
K13066	E2.1.1.68, COMT; caffeic acid 3-O-methyltransferase [EC:2.1.1.68]	E2.1.1.68, COMT; caffeic acid 3-O-methyltransferase [EC:2.1.1.68]
K08019	RAPGEF5; Rap guanine nucleotide exchange factor 5	RAPGEF5; Rap guanine nucleotide exchange factor 5
K17224	soxB; sulfur-oxidizing protein SoxB	soxB; sulfur-oxidizing protein SoxB
K08580	CAPN11; calpain-11 [EC:3.4.22.-]	CAPN11; calpain-11 [EC:3.4.22.-]
K00483	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]	hpaB; 4-hydroxyphenylacetate 3-monooxygenase [EC:1.14.14.9]
K15694	RNF43; RING finger protein 43 [EC:2.3.2.27]	RNF43; RING finger protein 43 [EC:2.3.2.27]
K07979	ytrA; GntR family transcriptional regulator	ytrA; GntR family transcriptional regulator
K02052	ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein	ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein
K02907	RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30	RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30
K10501	ZBTB20, HOF, DPZF; zinc finger and BTB domain-containing protein 20	ZBTB20, HOF, DPZF; zinc finger and BTB domain-containing protein 20
K10296	FBXO10; F-box protein 10	FBXO10; F-box protein 10
K02032	ABC.PE.A1; peptide/nickel transport system ATP-binding protein	ABC.PE.A1; peptide/nickel transport system ATP-binding protein
K13966	SERPINB11_12; serpin B11/12	SERPINB11_12; serpin B11/12
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]
K01677	E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]	TCA cycle
K15067	amnD; 2-aminomuconate deaminase [EC:3.5.99.5]	amnD; 2-aminomuconate deaminase [EC:3.5.99.5]
K17839	PAO4, PAO3, PAO2; polyamine oxidase [EC:1.5.3.17 1.5.3.-]	PAO4, PAO3, PAO2; polyamine oxidase [EC:1.5.3.17 1.5.3.-]
K03956	NDUFA11; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11	NDUFA11; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 11
K05831	lysK, argE; LysW-gamma-L-lysine/LysW-L-ornithine carboxypeptidase	lysK, argE; LysW-gamma-L-lysine/LysW-L-ornithine carboxypeptidase
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K14484	IAA; auxin-responsive protein IAA	IAA; auxin-responsive protein IAA
K02347	dpx; DNA polymerase (family X)	dpx; DNA polymerase (family X)
K11409	HDAC9; histone deacetylase 9 [EC:3.5.1.98]	HDAC9; histone deacetylase 9 [EC:3.5.1.98]
K12023	TRIM47; tripartite motif-containing protein 47	TRIM47; tripartite motif-containing protein 47
K19007	AGPAT5; lysophosphatidiate acyltransferase [EC:2.3.1.51]	AGPAT5; lysophosphatidiate acyltransferase [EC:2.3.1.51]
K11720	lptG; lipopolysaccharide export system permease protein	lptG; lipopolysaccharide export system permease protein
K06692	PSMD5; 26S proteasome non-ATPase regulatory subunit 5	PSMD5; 26S proteasome non-ATPase regulatory subunit 5
K18989	vexF; multidrug efflux pump	vexF; multidrug efflux pump
K05787	hupA; DNA-binding protein HU-alpha	hupA; DNA-binding protein HU-alpha
K06586	ITGA10; integrin alpha 10	ITGA10; integrin alpha 10
K10496	ZBTB9; zinc finger and BTB domain-containing protein 9	ZBTB9; zinc finger and BTB domain-containing protein 9
K00629	GPAT1_2; glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]	GPAT1_2; glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
K08664	PRSS8; prostasin [EC:3.4.21.-]	PRSS8; prostasin [EC:3.4.21.-]
K19490	DMRT3; doublesex- and mab-3-related transcription factor 3	DMRT3; doublesex- and mab-3-related transcription factor 3
K02194	ccmB; heme exporter protein B	ccmB; heme exporter protein B
K13707	ABHD15; abhydrolase domain-containing protein 15	ABHD15; abhydrolase domain-containing protein 15
K16765	CEP78; centrosomal protein CEP78	CEP78; centrosomal protein CEP78
K15619	SPINT1; Kunitz-type protease inhibitor 1	SPINT1; Kunitz-type protease inhibitor 1
K03606	wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase	wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase
K00625	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]	E2.3.1.8, pta; phosphate acetyltransferase [EC:2.3.1.8]
K06200	cstA; carbon starvation protein	cstA; carbon starvation protein
K04935	KCNV2; potassium channel subfamily V member 2	KCNV2; potassium channel subfamily V member 2
K02404	flhF; flagellar biosynthesis protein FlhF	flhF; flagellar biosynthesis protein FlhF
K08637	CPA4; carboxypeptidase A4 [EC:3.4.17.-]	CPA4; carboxypeptidase A4 [EC:3.4.17.-]
K03764	metJ; MetJ family transcriptional regulator, methionine regulon repressor	metJ; MetJ family transcriptional regulator, methionine regulon repressor
K11875	PSMG1, DSCR2, PAC1; proteasome assembly chaperone 1	PSMG1, DSCR2, PAC1; proteasome assembly chaperone 1
K04288	S1PR1, EDG1, CD363; sphingosine 1-phosphate receptor 1	S1PR1, EDG1, CD363; sphingosine 1-phosphate receptor 1
K05774	phnN; ribose 1,5-bisphosphokinase [EC:2.7.4.23]	phnN; ribose 1,5-bisphosphokinase [EC:2.7.4.23]
K04923	KCNK15; potassium channel subfamily K member 15	KCNK15; potassium channel subfamily K member 15
K00433	cpo; non-heme chloroperoxidase [EC:1.11.1.10]	cpo; non-heme chloroperoxidase [EC:1.11.1.10]
K09011	cimA; D-citramalate synthase [EC:2.3.1.182]	cimA; D-citramalate synthase [EC:2.3.1.182]
K14726	SLC9A10_11; solute carrier family 9 (sodium/hydrogen exchanger), member 10/11	SLC9A10_11; solute carrier family 9 (sodium/hydrogen exchanger), member 10/11
K09305	HOX_5; homeobox protein HoxA/B/C5	HOX_5; homeobox protein HoxA/B/C5
K10054	PML, TRIM19; probable transcription factor PML	PML, TRIM19; probable transcription factor PML
K02539	MCL1; myeloid leukemia cell differntiation protein MCL-1	MCL1; myeloid leukemia cell differntiation protein MCL-1
K06919	K06919; putative DNA primase/helicase	K06919; putative DNA primase/helicase
K04256	OPN3; c-opsin	OPN3; c-opsin
K15598	thiY; putative hydroxymethylpyrimidine transport system substrate-binding protein	thiY; putative hydroxymethylpyrimidine transport system substrate-binding protein
K18222	ARSE; arylsulfatase E [EC:3.1.6.-]	ARSE; arylsulfatase E [EC:3.1.6.-]
K04994	MCOLN3; mucolipin 3	MCOLN3; mucolipin 3
K01804	araA; L-arabinose isomerase [EC:5.3.1.4]	araA; L-arabinose isomerase [EC:5.3.1.4]
K18738	HEK2, KHD1; heterogeneous nuclear rnp K-like protein 2	HEK2, KHD1; heterogeneous nuclear rnp K-like protein 2
K11065	tpx; thiol peroxidase, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]	tpx; thiol peroxidase, atypical 2-Cys peroxiredoxin [EC:1.11.1.15]
K02309	DBF4; regulatory subunit for Cdc7p protein kinase	DBF4; regulatory subunit for Cdc7p protein kinase
K15783	doeA; ectoine hydrolase	doeA; ectoine hydrolase
K13418	SERK1; somatic embryogenesis receptor kinase 1 [EC:2.7.10.1 2.7.11.1]	SERK1; somatic embryogenesis receptor kinase 1 [EC:2.7.10.1 2.7.11.1]
K15142	MED29; mediator of RNA polymerase II transcription subunit 29	MED29; mediator of RNA polymerase II transcription subunit 29
K03588	ftsW, spoVE; cell division protein FtsW	ftsW, spoVE; cell division protein FtsW
K04882	KCNAB1; potassium voltage-gated channel Shaker-related subfamily A, beta member 1	KCNAB1; potassium voltage-gated channel Shaker-related subfamily A, beta member 1
K10584	UBE2U; ubiquitin-conjugating enzyme E2 U [EC:2.3.2.23]	UBE2U; ubiquitin-conjugating enzyme E2 U [EC:2.3.2.23]
K07909	RAB17; Ras-related protein Rab-17	RAB17; Ras-related protein Rab-17
K10974	codB; cytosine permease	codB; cytosine permease
K09509	DNAJB3; DnaJ homolog subfamily B member 3	DNAJB3; DnaJ homolog subfamily B member 3
K12008	TRIM26; tripartite motif-containing protein 26	TRIM26; tripartite motif-containing protein 26
K06583	ITGA7; integrin alpha 7	ITGA7; integrin alpha 7
K01839	deoB; phosphopentomutase [EC:5.4.2.7]	deoB; phosphopentomutase [EC:5.4.2.7]
K16877	hmfA; 2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]	hmfA; 2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]
K03323	SLC29A4, ENT4; solute carrier family 29 (equilibrative nucleoside transporter), member 4	SLC29A4, ENT4; solute carrier family 29 (equilibrative nucleoside transporter), member 4
K07965	HPSE2; heparanase 2 [EC:3.2.1.-]	HPSE2; heparanase 2 [EC:3.2.1.-]
K09646	SCPEP1; serine carboxypeptidase 1 [EC:3.4.16.-]	Lysosome associated
K17222	soxA; sulfur-oxidizing protein SoxA	soxA; sulfur-oxidizing protein SoxA
K12022	TRIM46; tripartite motif-containing protein 46	TRIM46; tripartite motif-containing protein 46
K03629	recF; DNA replication and repair protein RecF	recF; DNA replication and repair protein RecF
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	Fatty acid biosynthesis
K04063	osmC; osmotically inducible protein OsmC	osmC; osmotically inducible protein OsmC
K06759	CNTN1; contactin 1	CNTN1; contactin 1
K12380	RASA3; Ras GTPase-activating protein 3	RASA3; Ras GTPase-activating protein 3
K04133	CHRM5; muscarinic acetylcholine receptor M5	CHRM5; muscarinic acetylcholine receptor M5
K12753	MYL5; myosin regulatory light chain 5	MYL5; myosin regulatory light chain 5
K18893	vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump	vcaM; ATP-binding cassette, subfamily B, multidrug efflux pump
K08464	GPR128; G protein-coupled receptor 128	GPR128; G protein-coupled receptor 128
K07448	mrr; restriction system protein	mrr; restriction system protein
K00316	spdH; spermidine dehydrogenase [EC:1.5.99.6]	spdH; spermidine dehydrogenase [EC:1.5.99.6]
K04827	SCNN1G; amiloride-sensitive sodium channel subunit gamma	SCNN1G; amiloride-sensitive sodium channel subunit gamma
K04304	CXCR7, RDC1; C-X-C chemokine receptor type 7	CXCR7, RDC1; C-X-C chemokine receptor type 7
K10184	TBX19; T-box protein 19	TBX19; T-box protein 19
K01786	araD; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]	araD; L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4]
K03646	tolA; colicin import membrane protein	tolA; colicin import membrane protein
K08841	TESK1; testis-specific kinase 1 [EC:2.7.12.1]	TESK1; testis-specific kinase 1 [EC:2.7.12.1]
K04888	KCNC2; potassium voltage-gated channel Shaw-related subfamily C member 2	KCNC2; potassium voltage-gated channel Shaw-related subfamily C member 2
K10749	GMNN; geminin	GMNN; geminin
K01407	ptrA; protease III [EC:3.4.24.55]	ptrA; protease III [EC:3.4.24.55]
K17726	CYP4F2_3; leukotriene-B4 20-monooxygenase / phylloquinone omega-hydroxylase [EC:1.14.13.30 1.14.13.194]	CYP4F2_3; leukotriene-B4 20-monooxygenase / phylloquinone omega-hydroxylase [EC:1.14.13.30 1.14.13.194]
K11177	yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]	yagR; xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]
K15626	NUPR1, COM1; nuclear protein, 1	NUPR1, COM1; nuclear protein, 1
K11669	INO80E; INO80 complex subunit E	INO80E; INO80 complex subunit E
K05772	tupA, vupA; tungstate transport system substrate-binding protein	tupA, vupA; tungstate transport system substrate-binding protein
K13957	KLHL33; kelch-like protein 33	KLHL33; kelch-like protein 33
K17348	TSPAN1; tetraspanin-1	TSPAN1; tetraspanin-1
K14761	ybcJ; ribosome-associated protein	ybcJ; ribosome-associated protein
K07235	tusD, dsrE; tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]	tusD, dsrE; tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]
K10023	aotM; arginine/ornithine transport system permease protein	aotM; arginine/ornithine transport system permease protein
K08321	lsrF; 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]	lsrF; 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase [EC:2.3.1.245]
K04072	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]	adhE; acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]
K17828	pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]	pyrDI; dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]
K05604	CNDP1; beta-Ala-His dipeptidase [EC:3.4.13.20]	CNDP1; beta-Ala-His dipeptidase [EC:3.4.13.20]
K17322	K17322, glpP; glycerol transport system permease protein	K17322, glpP; glycerol transport system permease protein
K02833	HRAS; GTPase HRas	HRAS; GTPase HRas
K05090	CSF1R, FMS, CD115; macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1]	CSF1R, FMS, CD115; macrophage colony-stimulating factor 1 receptor [EC:2.7.10.1]
K05830	lysJ, argD; LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]	lysJ, argD; LysW-gamma-L-lysine/LysW-L-ornithine aminotransferase [EC:2.6.1.-]
K17534	MLK4, KIAA1804; mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25]	MLK4, KIAA1804; mitogen-activated protein kinase kinase kinase MLK4 [EC:2.7.11.25]
K09092	TCFL5, CHA; transcription factor-like 5	TCFL5, CHA; transcription factor-like 5
K10334	ASB12; ankyrin repeat and SOCS box protein 12	ASB12; ankyrin repeat and SOCS box protein 12
K08748	SLC27A5, FATP5; solute carrier family 27 (fatty acid transporter), member 5 [EC:6.2.1.7]	SLC27A5, FATP5; solute carrier family 27 (fatty acid transporter), member 5 [EC:6.2.1.7]
K11671	NFRKB, INO80G; nuclear factor related to kappa-B-binding protein	NFRKB, INO80G; nuclear factor related to kappa-B-binding protein
K06590	ITGB7; integrin beta 7	ITGB7; integrin beta 7
K16074	zntB; zinc transporter	zntB; zinc transporter
